mmsi,SHIP_IMO,SHIP_NO,SHIP_TYPE_CODE,SHIP_DWT,SHIP_GROSSTON,SHIP_SPEED,SHIP_BREADTH,SHIP_DEPTH,SHIP_LENGTH,SHIP_ENGINE_POWER,SHIP_BUILT_YEAR,N,vesselType,TEUCapacity,lengthOverall
413700170,9057472,A110010000005,集装箱船,44585,42323,12,32.24,20.17,242.04,27290,1993,157,fully cellular containership,5711,242.04
413700170,9057472,A110010000005,集装箱船,44585,42323,12,32.24,20.17,242.04,27290,1993,157,fully cellular containership,5711,242.04
413700170,9057472,A110010000005,集装箱船,44585,42323,12,32.24,20.17,242.04,27290,1993,157,fully cellular containership,5711,242.04
477057700,9783332,CHK4832,油船,299154,162542,15.7,60,30,324.53,26000,2017,142,,,
636019594,9869526,B9869526,散货船,187243,99216,13,47.5,24.7,299,17218,2019,33,bulk carrier,,299.88
636019594,9869526,B9869526,散货船,187243,99216,13,47.5,24.7,299,17218,2019,33,bulk carrier,,299.88
636019700,9858735,B9858735,集装箱船,37248,32828,10,35.6,17.9,185.99,16080,2020,182,fully cellular containership,2500,185.99
636019700,9858735,B9858735,集装箱船,37248,32828,10,35.6,17.9,185.99,16080,2020,182,fully cellular containership,2500,185.99
311365000,9609158,CHK-3377,散货船,81623,45271,14,32.26,20.2,229,8721,2012,50,bulk carrier,,229
371829000,9832729,B9832729,集装箱船,198937,219688,23.9,58.8,32.9,399.98,59300,2015,226,fully cellular containership,20150,399.98
412403020,9625566,A070312000009,散货船,34960,21926,14,28.4,14.7,179.98,6480,2011,149,,,
412570860,9591789,A121010000064,油船,18000,11453,12.5,22.6,12.5,150.6,2942,2010,147,,,
412665000,9205794,A140702005,油船,37603,23370,14,32.2,14.6,180.2,7353,1999,177,,,
412755000,9475557,A140010000039,散货船,56931,32911,14,32.26,18,189.99,9480,2010,155,bulk carrier,,189.99
413129000,9292400,A090005000009,散货船,55150,33511,14,32.26,18,199.99,8510,2005,86,,,
413379990,9627930,A090312000026,液化气船,3012,2981,13,15.2,6.9,99.96,2500,2012,163,Liquefied Petroleum Gas Carrier,,99.96
413380260,9831672,A010017000089,散装化学品船,5870,4486,12,16.8,8.2,110.3,2060,2017,180,,,
413380970,9351854,A100116000102,液化气船,2653,2861,11.5,14.4,7,96,2060,2007,173,Liquefied Petroleum Gas Carrier,,96
413440820,9608269,A070311000027,散装化学品船/油船,5695,3927,10.5,15.8,7.4,110.25,2574,2011,154,chemical tanker,,110.25
413442350,9627332,A070312000336,供给船,3520,3214,12,18,7.8,78,8824,2012,165,tug/supply,,78
413701060,9144316,A080115000019,集装箱船,28370,24002,12,27.4,15.8,205.51,13383,1997,163,fully cellular containership,,205.51
413740000,9062544,A020009000040,散货船,103794,64283,13,41.5,22.85,246.5,13974,1993,66,,,
413930000,9556791,B9556791,散货船,23127,14912,11,24,13.8,159.9,4400,2009,122,bulk carrier,,159.9
414222000,9139907,A010015000099,集装箱船,39464,41507,21,32.29,19.2,253.7,28350,1997,150,fully cellular containership,3429,253
414295000,9209934,A010017000029,滚装船,8531,33854,18,27.4,18.03,173.03,8208,1999,189,vehicle carrier,,173.03
414335000,9371799,A070317000351,散货船,40932,30661,12,32.26,17.2,189.99,10800,2006,193,bulk carrier,,190
414364000,9264128,A070118000026,散货船,50619,30520,14.7,32.26,17.2,190,10800,2004,162,bulk carrier,,190
414398000,9227467,A070518000092,散货船,51825,27989,14,32.26,16.9,189.8,8090,2001,159,bulk carrier,,189.8
431664000,9820867,B9820867,散货船,208564,107454,12,50,24.7,299.95,17300,2018,157,,,
477078600,9258715,B9258715,集装箱船,12696,9413,17,22.4,11,144.8,7980,2002,200,,,
477137700,9728007,CHK-4374,集装箱船,21196,17119,19.5,,14,,12050,2016,182,,,
477139200,9760639,CHK-4910,集装箱船,23554,18826,18.5,28.1,14.2,162.08,14280,2017,204,,,
477154300,9793894,CHK-4977,集装箱船,132736,113828,22,48.2,22.94,317.16,42350,2018,216,fully cellular containership,11923,330
477154300,9793894,CHK-4977,集装箱船,132736,113828,22,48.2,22.94,317.16,42350,2018,216,fully cellular containership,11923,330
477168900,9783514,B9783514,集装箱船,197087,196670,22.5,58,25,384,54950,2017,218,fully cellular containership,20038,400
477168900,9783514,B9783514,集装箱船,197087,196670,22.5,58,25,384,54950,2017,218,fully cellular containership,20038,400
477168900,9783514,B9783514,集装箱船,197087,196670,22.5,58,25,384,54950,2017,218,fully cellular containership,20038,400
477194100,9783473,B9783473,集装箱船,199934,194864,28,58.6,23.3,399.8,49500,2018,224,,,
477237300,9826500,CHK-5147,散货船,81690,43646,13,32.26,20.01,224.69,9120,2015,141,bulk carrier,,229
477244100,9453250,9453250,散货船,56779,32929,14,32.26,18,189.99,9480,2011,142,bulk carrier,,189.99
477252600,9400289,CHK-4687,集装箱船,102303,91354,23,42.8,24.8,335,93120,2008,220,fully cellular containership,,335.07
477519800,9684134,CHK-3833,散货船,75321,40946,14,32.26,19.6,225,8833,2013,49,,,
538008691,9825398,B9825398,集装箱船,23415,19035,11,28.4,14.21,164.84,11150,2019,76,,,
563083200,9871074,B9871074,散装化学品船/油船,19906,15225,12,27.7,40,150,4195,2019,145,Combined chemical and oil tanker,,157
636019716,9863687,B9863687,杂货船,2998,2590,12,13.8,7,81,1323,2019,187,general cargo,,81
355224000,9859923,BUN9859923,集装箱船,21500,17933,20,27.4,14.3,172,15300,2019,207,fully cellular containership,1800,172.07
371444000,9823754,B9823754,集装箱船,37621,32828,20,35.6,17.9,182.6,16080,2018,184,fully cellular containership,2500,185.99
412057000,9568160,A090012000004,散货船,76022,41303,13.5,32.26,19.7,225,10000,2012,51,,,
412124000,9600827,A090011000006,散货船,57000,32858,14.2,32.26,18,189.99,9480,2011,166,bulk carrier,,189.99
412208780,9623609,A050312990055,干货船,29011,21270,12,27.4,14.2,166.31,6810,2012,89,,,
412470820,9485564,A090008000015,散装化学品船/油船,,5612,12,18,9.4,120.11,2380,2008,159,asphalt tanker,,120.11
412750000,9437555,A010010000142,集装箱船,63258,54005,25.2,32.2,21.8,294,45760,2010,185,,,
413217750,9070785,A010009000181,散货船,43216,25498,13,30.5,16,185.06,7779,1994,158,bulk carrier,,185.06
413368000,9406855,A110008000008,油船,6315,5569,13.6,17.6,10.1,106.84,4000,2008,136,asphalt tanker,,106.84
413368000,9406855,A110008000008,油船,6315,5569,13.6,17.6,10.1,106.84,4000,2008,136,asphalt tanker,,106.84
413381040,9722259,A010018000051,散装化学品船/油船,2444,2028,12,13.2,6.2,85,1290,2018,147,,,
413439970,9523897,A070112000091,油船,5914,4133,10,16.2,8,112.1,2574,2012,170,asphalt tanker,,112.1
413472690,9551765,A070511000002,散装化学品船/油船,6763,4048,11,16,8.7,103,2574,2010,154,,,
413495930,9262558,A091618000003,干货船,32763,24918,16,27.69,15.49,188.64,8730,2003,153,general cargo with container capacity,1874,188.64
413911000,9125578,A080009000015,散货船,43764,26897,14.5,30.5,16.6,190,8407,1997,172,,,
414374000,9535876,A070518000037,散货船,57053,33036,14.5,32.26,18,189.99,9480,2010,168,bulk carrier,,189.99
414374000,9535876,A070518000037,散货船,57053,33036,14.5,32.26,18,189.99,9480,2010,168,bulk carrier,,189.99
414404110,9693458,A070019000006,散货船,67375,39129,14,36,18.5,199.99,9659,2019,173,bulk carrier,,199.99
414404110,9693458,A070019000006,散货船,67375,39129,14,36,18.5,199.99,9659,2019,173,bulk carrier,,199.99
414404110,9693458,A070019000006,散货船,67375,39129,14,36,18.5,199.99,9659,2019,173,bulk carrier,,199.99
441611000,9528718,2017-102,油船,5927,4387,12,17,8.9,102.4,2910,2008,137,,,
