callsign_ogrinal,flag_normalized,imo,mmsi,my_vessel_type,port_of_registry,service_speed,teu,trial_speed,vessel_name_original,depth_moulded,draught,length_registered,deadweight,gross_tonnage,net_tonnage,ism_manager_name,owner_name,year_of_built,eng_total_bhp,eng_total_kw
DIRU2,Germany,9516753,218826000,Container,HAMBURG,20.5,1740,,HANSA SALZBURG,14.3,10.91,166.1,23301,18358,10334,LEONHARDT & BLUMBERG REEDEREI,Schiffahrts-Gesellschaft HANSA SALZBURG mbH & Co. KG,2011,21168,15785
LXOF,Luxembourg,9516765,253551000,Container,Luxembourg,19.8,1740,,HANSA OFFENBURG,14.3,10.91,166.1,23314,18358,10334,LEONHARDT & BLUMBERG REEDEREI,Schiffahrts-Gesellschaft HANSA OFFENBURG mbH & Co.KG,2011,21168,15785
D5BG5,Liberia,9516777,636092379,Container,Monrovia,20.5,1740,,ANL ELAROO,14.3,10.91,166.1,23368,18358,10334,CARSTEN REHDER SCHIFFSMAKLER,MS _¥æ·²ELLINGTON STRAIT_¥ï¿½GmbH & Co. KG,2012,,
D5BG4,Liberia,9516789,636092378,Container,Monrovia,20.5,1740,,WINCHESTER STRAIT,14.3,10.91,166.1,23295,18358,10334,CARSTEN REHDER SCHIFFSMAKLER,MS WINCHESTER STRAIT GmbH & Co. KG,2012,,
V2FE8,Antigua and Barbuda,9517422,305655000,Container,St. John's,19.3,1350,,TAMMO,14.9,9.5,152.63,17191,16137,6126,H. Schepers Bereederungs GmbH & Co. KG,MS TAMMO Schiffahrtsgesellschaft mbH & Co. KG,2011,,
V2FM3,Antigua and Barbuda,9517434,305720000,Container,St. John's,19.3,1350,,ARIAN,14.9,10,152.63,17158,16137,6126,H. Schepers Bereederungs GmbH & Co. KG,MS ARIAN Schiffahrtsgesellschaft mbH & Co. KG,2011,,12460
H9JQ,Panama,9517628,351282000,Container,PANAMA,17.8,907,,CONTRAIL SKY,11,8,,12550,9517,5658,CPN FRONTIER SHANGHAI CO LTD,Chijin Shipping S.A.,2009,,7980
,Netherlands,9517678,,Container,,18.5,809,,MINGDE MD098-800TEU-06,,7.3,,9140,7720,,,OWNER UNKNOWN,2015,,
,Netherlands,9517680,,Container,,19,809,19,NANTONG MINGDE 803,9.5,7.3,,9500,7700,3600,,OWNER UNKNOWN,2012,,
,Netherlands,9517707,,Container,,19,809,,NANTONG MINGDE 805,,7.3,,9500,7700,,,OWNER UNKNOWN,2012,,
,Netherlands,9517719,,Container,,19,809,19,NANTONG MINGDE 806,9.5,7.3,,9500,7700,3600,,OWNER UNKNOWN,2012,,
VRMJ6,Hong Kong,9518335,477463500,Container,,24.5,4253,,COSCO ASHDOD,,11,261.09,49956,40465,23892,SHANGHAI OCEAN SHIPPING CO LTD,COSCO ASHDOD SHIPPING LTD,2013,,
VRMN9,Hong Kong,9518347,477752300,Container,,24.5,4250,,COSCO SURABAYA,,11,,49961,40465,23892,SHANGHAI OCEAN SHIPPING CO LTD,COSCO SURABAYA SHIPPING LTD,2013,,
VRMN8,Hong Kong,9518359,477752400,Container,,24.5,4253,,COSCO AQABA,,11,261.09,49963,40465,23892,SHANGHAI OCEAN SHIPPING CO LTD,COSCO AQABA SHIPPING LTD,2013,,
5BXU2,Cyprus,9519327,209047000,Container,Limassol,19.5,1304,,SEAJADE,13.9,9.9,151.35,16780,15636,6715,MARLOW NAVIGATION CO LTD,SEAJADE SHIPPING CO LTD,2010,18184,13560
BVKA5,China,9521497,413699570,Container,NANJING,13,688,,YONG XIN 101,10.25,7.5,,11400,8066,4150,UNKNOWN,FUJIAN QUANZHOU YONGXIN SHPG,2008,,3300
