callsign_ogrinal,flag_normalized,imo,mmsi,my_vessel_type,port_of_registry,service_speed,teu,trial_speed,vessel_name_original,depth_moulded,draught,length_registered,deadweight,gross_tonnage,net_tonnage,ism_manager_name,owner_name,year_of_built,eng_total_bhp,eng_total_kw
3FCX7,Panama,9130523,356871000,Container,PANAMA,18.7,1164,20.5,EVER APEX,10.1,8.52,152.04,15606,14807,4849,EVERGREEN MARINE CORP,GREENCOMPASS MARINE SA,1997,14635,10914
VRYW2,Hong Kong,9130535,477406000,Container,HONG KONG,18.7,1164,20.7,UNI-ACCORD,10.1,6.72,152.04,15511,14807,4849,EVERGREEN MARINE CORP,EVERGREEN MARINE HONG KONG,1997,,10914
BKNR,"Taiwan, Province of China",9130547,416340000,Container,KEELUNG,18.7,1164,20.5,UNI-ACTIVE,10.1,8.52,152.04,15512,14807,4849,EVERGREEN MARINE CORP,EVERGREEN STORAGE &amp; TRANSPORT,1998,,10914
BKNS,"Taiwan, Province of China",9130559,416341000,Container,KEELUNG,18.7,1164,20.6,UNI-ADROIT,10.1,8.52,152.04,15511,14807,4849,EVERGREEN MARINE CORP,EVERGREEN STORAGE &amp; TRANSPORT,1998,,10914
3FPG8,Panama,9130561,352852000,Container,PANAMA,18.7,1164,20.5,UNI-ARDENT,10.1,8.52,152.04,15511,14807,4849,EVERGREEN MARINE CORP,GAINING ENTERPRISE,1998,,10914
3FVN8,Panama,9130573,353695000,Container,PANAMA,18.7,1164,20.8,UNI-ASPIRE,10.1,8.52,152.04,15511,14807,4849,EVERGREEN MARINE CORP,GAINING ENTERPRISE,1998,,10914
3FBD9,Panama,9130585,357157000,Container,PANAMA,18.7,1164,20.3,UNI-ASSENT,10.1,8.52,152.04,15511,14807,4849,EVERGREEN MARINE CORP,GAINING ENTERPRISE,1999,,10914
3FHV9,Panama,9130597,357398000,Container,PANAMA,18.7,1164,20.8,UNI-ASSURE,10.1,8.52,152.04,15511,14807,4849,EVERGREEN MARINE CORP,GAINING ENTERPRISE,1999,,10914
9LU2042,Sierra Leone,9130901,667001239,Container,FREETOWN,16.5,592,,CAPTAIN JOY,9.45,7.45,110.04,7488,5544,2622,SAFE SEA SERVICES SARL,JOY MARINE TRANSPORT LTD,1996,7174,5280
MWDF5,Isle of Man,9130913,,Container,,17,597,,SYDNEY EXPRESS,,7.54,,7060,5552,,,REEDEREI H WINTER,1995,,
BIIV,China,9130987,413605000,Container,"SHANGHAI,CHINA",14,385,,YI YUN,8.5,6.5,,6838,4822,2476,SINOTRANS CONTAINER LINES,SINOTRANS CONTAINER LINES,1996,,3353
BIAP8,China,9130999,413376690,Container,"SHANGHAI,CHINA",12,385,,YI SHENG,8.5,6.5,103.2,6816,4822,2476,SINOTRANS CONTAINER LINES,SINOTRANS CONTAINER LINES,1996,4496,3353
3WJZ9,Vietnam,9131008,574269000,Container,,13.5,404,,ATLANTIC OCEAN,,6.5,103,6700,4813,2465,BIEN DONG SHIPPING CO.,ATLANTIC OCEAN SHIPPING,1996,,
JVFL4,Mongolia,9131010,457327000,Container,ULAN BATOR MONGOLIA,14,404,,PRUDENT,,6.5,103,6835,4813,2465,VSICO SHIPPING JSC,SA INTERNATIONAL LINK JSC,1997,5700,4195
VRXH5,Hong Kong,9131022,477943000,Container,HONG KONG CHINA,16.5,639,,OSG ADMIRAL,,7.8,,9676,7197,3758,SHANGHAI ANRITA SHPG CO LTD,SINOTEC MARITIME LTD,1997,5510,4109
DSEM7,Panama,9131058,351989000,Container,PANAMA,24,4024,,HANJIN SANFRANCISCO,,13.01,277.38,62799,51943,30904,HANJIN SHIP MANAGEMENT CO LTD,KAMCO NO 6 SHIPPING CO SA,1996,,
3ERC6,Panama,9131060,370009000,Container,PANAMA,17.1,650,,HEUNGA SINGAPORE,,7.35,132.94,10354,8276,3752,HAS MANAGEMENT CO LTD,GSH2 CONTAINER CARRIER I AS,1996,,
V2AE5,Antigua and Barbuda,9131802,304438000,Container,ST. JOHN'S,18,910,,MUNSTER,11.85,9.15,129.61,12950,9991,5208,CONCORD SHIPPING GMBH & CO KG,MUNSTER,1996,13410,10000
POPF,Indonesia,9131814,525025078,Container,Surabaya,19,910,,MERATUSBATAM,11.85,9.15,129.61,12950,9991,5208,UNKNOWN,P.T. Meratus Line,1996,13587,10000
DSFT8,"Korea, Republic of",9131852,441174000,Container,JEJU CHEJU,19.7,1585,,KMTC PUSAN,,9.21,159.5,21054,16717,7339,KMTC SHIP MANAGEMENT CO LTD,KOREA MARINE TRANSPORT CO LTD,1997,19460,14323
DSRD9,"Korea, Republic of",9131864,441788000,Container,Pusan,19.7,1585,,KMTC ULSAN,,9.21,159.5,21069,16717,7135,KMTC SHIP MANAGEMENT CO LTD,KOREA MARINE TRANSPORT CO LTD,1997,19460,14323
PNJU,Indonesia,9132399,525015667,Container,TANJUNG PRIOK,16.2,642,,MOROTAI,10.7,7.4,116,9821,7260,3734,CMA CGM INTERNATIONAL SHIPPING,CMA PT,1996,7602,5669
VRNX7,Hong Kong,9132521,477585900,Container,HONG KONG,15.5,614,,HASCO QINGDAO,10.62,7.5,112.67,10010,7111,3545,SHANGHAI HAI HUA SHIPPING CO. LTD (HASCO),BLUE STAR SHIPPING CO LTD-HKG,1997,7378,5430
J8B5348,Saint Vincent and the Grenadines,9132703,376307000,Container,PANAMA,17.29,894,19.8,WEST SCENT,12.8,8.81,137.21,15326,11875,6625,FUTURE TREND NAUTICAL LLC,NAUTICAL TREND SHIPPING CO INC,1995,11480,8561
BLBB,"Taiwan, Province of China",9132894,416257000,Container,KEELUNG,17.6,1088,,WAN HAI 161,12.8,8.72,150.59,17738,13246,6477,WAN HAI LINES LTD,WAN HAI LINES LTD,1996,,8561
BLBZ,"Taiwan, Province of China",9132909,416258000,Container,KEELUNG,12.7,1088,,WAN HAI 162,12.8,8.72,150.59,17697,13246,6477,WAN HAI LINES LTD,WAN HAI LINES LTD,1996,,8561
HSB5951,Thailand,9133147,567538000,Container,POHANG SOUTH KOREA,13.5,215,,PS CHALALAI2,,5.81,85.27,4259,3100,1039,HANJIN TRANSPORTATION CO. LTD,HANJIN TRANSPORTATION CO. LTD,1995,,2405
S6NJ,Singapore,9133329,564238000,Container,Singapore,18.8,1498,,JITRA BHUM,13.6,9.8,162.33,21800,15533,7477,RCL FEEDER PTE LTD.,"Regional Container Lines Public Co., Ltd.",1997,,12280
9V8476,Singapore,9133331,565290000,Container,Singapore,18,1498,,KAMA BHUM,13.6,9.8,162.33,21800,15533,7477,RCL FEEDER PTE LTD.,"Regional Container Lines Public Co., Ltd.",1997,,12280
DSFS5,"Korea, Republic of",9133484,441158000,Container,JEJU CHEJU SOUTH KOREA,16.5,342,,SUNNY MAPLE,,6.51,98.06,5834,3987,2023,KMTC SHIP MANAGEMENT CO LTD,KOREA MARINE TRANSPORT CO LTD,1996,,3912
DSNZ8,"Korea, Republic of",9133874,440473000,Container,JEJU CHEJU SOUTH KOREA,17.1,702,,POS TOKYO,,7.36,132.94,10299,8306,3789,POS SM CO LTD,STX PAN OCEAN CO LTD,1997,5700,4195
DGGW,Germany,9134139,211237900,Container,Hamburg,16,700,,SVEN,8.3,7,115.04,7223,6362,3998,RAMBOW REEDEREI,MS Sven Wilfried Rambow GmbH & Co. KG,1996,7201,5300
V4WR2,Saint Kitts and Nevis,9134141,,Container,BASSETERRE,16.4,700,,CAROLINA,,6.69,115.04,7225,6362,3998,SILVER STAR SHIP MANAGEMENT,OCEAN GULF CO. LTD.,1996,7201,5300
5BSJ3,Cyprus,9134153,210312000,Container,Limassol,16.4,700,,WEC MAJORELLE,8.3,7,115.04,7223,6362,3998,MESTEX SHIPPING & TRADING LTD,Baretia Shipping Ltd.,1996,7201,5300
9V7951,Singapore,9134232,565106000,Container,Singapore,25,4211,,EVER DAINTY,21.25,12.6,281,55604,52090,25904,EVERGREEN MARINE SINGAPORE,EVERGREEN MARINE SINGAPORE,1997,66120,48664
9V7952,Singapore,9134244,564904000,Container,Singapore,25,4211,,EVER DECENT,21.25,12.6,281,55604,52090,25904,EVERGREEN MARINE SINGAPORE,EVERGREEN MARINE SINGAPORE,1997,66120,48664
9V7953,Singapore,9134256,564621000,Container,Singapore,25,4211,,EVER DELUXE,21.25,12.6,281,55635,52090,25904,EVERGREEN MARINE SINGAPORE,EVERGREEN MARINE SINGAPORE,1998,66120,48664
9V7954,Singapore,9134268,564386000,Container,Singapore,25,4211,,EVER DEVOTE,21.25,12.63,281,55604,52090,25904,EVERGREEN MARINE SINGAPORE,EVERGREEN MARINE SINGAPORE,1998,66120,48664
9V7955,Singapore,9134270,565711000,Container,Singapore,25,4211,,EVER DIADEM,21.25,12.6,281,55604,52090,25904,EVERGREEN MARINE SINGAPORE,EVERGREEN MARINE SINGAPORE,1998,66120,48664
9V7956,Singapore,9134282,564404000,Container,Singapore,25,4199,,EVER DIVINE,21.25,12.6,281,55604,52090,25904,EVERGREEN MARINE SINGAPORE,EVERGREEN MARINE SINGAPORE,1998,66120,48664
9HA3305,Malta,9134490,229403000,Container,VALETTA,20,2086,,THIRA,15.8,10.12,195.78,28370,24053,9413,GOLDENPORT SHIPMANAGEMENT LTD,BSL THIRA SHIPPING LTD.,1997,18198,13394
BVWM7,China,9134505,413702170,Container,PANAMA,20,2045,,WAN FU DA,,10.1,195.78,28293,24053,12958,FLEET SHIP MANAGEMENT PTE LTD,WAN DA SHIPPING FUJIAN,1997,16370,12048
D6A2103,Comoros,9134517,,Container,HAMBURG,23.25,3398,,RICA,16.35,11.7,227.92,42954,37394,20334,LEONHARDT & BLUMBERG,UNKNOWN,1997,38548,28371
A8JC8,Liberia,9134567,636091072,Container,MONROVIA,20,1504,,SILVER BAY,14.2,10.5,163.96,22286,17295,8849,UNKNOWN,SILVER BAY/SUNSET BAY,1998,,
A8JC7,Liberia,9134579,636091071,Container,MONROVIA,20,1504,,SUNSET BAY,14.2,10.5,163.96,22800,17295,8849,NSC SCHIFFFAHRTSGESELLSCHAFT,SILVER BAY/SUNSET BAY,1998,,
9HA3521,Malta,9134581,,Container,MAJURO,21,1804,,AS PEGASUS,16.8,11.5,181.79,29229,23722,9843,ALPHA SHIPMANAGEMENT GMBH & CO,ALPHA SHIP GMBH MS PEGASUS & CO. KG,1998,23065,17200
V7LZ7,Marshall Islands,9134593,538090285,Container,MAJURO,21,1804,,TAURUS 1,16.8,11.5,181.76,29260,23722,9843,ALPHA SHIPMANAGEMENT GMBH & CO,TAURUS &AMP; CO KG,1998,23065,17200
D5FV5,Liberia,9134608,636092565,Container,Monrovia,20,2067,,HS MASTER,16.75,11.5,176.68,30416,23897,10474,HANSA SHIPPING GMBH & CO KG,UNKNOWN OWNER,1997,22920,16869
V2CJ5,Antigua and Barbuda,9134610,305017000,Container,ST. JOHN'S,20,2067,,CHAMPION,16.75,11.5,176.68,30407,23897,10474,HANSA SHIPPING GMBH & CO KG,CHAMPION MBH &AMP; CO KG,1998,21875,16100
V2HS,Antigua and Barbuda,9134622,305986000,Container,ST JOHNéº_,19,1730,,RITA SCHEPERS,13.5,9.88,172.36,22900,16801,8672,HS SCHIFFAHRTS GMBH & CO KG,RITA SCHEPERS GMBH &amp; CO KG,1997,18098,13320
5BXS3,Cyprus,9134634,210623000,Container,Limassol,19,1698,,CITY OF HANOI,13.5,9.89,172.36,23051,16801,8672,RICKMERS SHIPMANAGEMENT (SINGAPORE) PTE. LTD.,Aryona Shipping Co. Ltd.,1997,18120,13336
2AFZ5,United Kingdom,9134646,235059293,Container,PLYMOUTH,19.6,1730,,CMA CGM IMPALA,,9.89,172.36,22900,16803,8648,Dohle (IOM) Ltd,CMA CGM SA THE FRENCH LINE,1996,17862,13320
3FFT4,Panama,9134658,371751000,Container,PANAMA,20,1728,,OEL STRAITS,,9.89,172.36,22900,16801,8672,RICKMERS SHIPMANAGEMENT (SINGAPORE) PTE. LTD.,Orient Express Lines (Singapore) Pte. Ltd.,1997,17862,13320
HPSW,Panama,9134660,372426000,Container,Panama,19.6,1694,,OEL LANKA,,10,172.36,23062,16801,8672,ORIENT EXPRESS SHIP MANAGEMENT,Orient Express Lines (Singapore) Pte. Ltd.,1997,18120,13336
3ECO9,Panama,9134672,357844000,Container,Mannheim,19.6,1728,,BLPL GRACE,13.5,9.89,172.36,23064,16801,8672,REGAL AGENCIES CORP.,BLPL Singapore Pte. Ltd.,1997,18120,13336
D5FI2,Liberia,9134684,636016271,Container,MONROVIA,19.17,1684,,SHASTA,13.5,9.94,167.72,22420,16264,8719,CONBULK SHIPPING S.A.,ALMOND SHIPPING INVESTMENTS,1997,18120,13336
ELXB5,Liberia,9134696,636091293,Container,MONROVIA,18,1055,,CAPE SCOTT,11.1,8.3,142.21,13762,10896,5548,DS SCHIFFAHRT GMBH & CO KG,CAPE SCOTT GMBH &amp; CO,1997,,
3FHT3,Panama,9134701,351976000,Container,PANAMA,18,1055,,VIYA,11.1,8.3,142.21,13623,10925,5548,TOBA SHIP MANAGEMENT CO LTD,MTN SHIPPING &amp; TRADING CORP,1997,,
9VNI,Singapore,9135092,563904000,Container,SINGAPORE,17.6,1088,19.7,KOTA HARTA,12.8,8.73,150,19238,13272,6483,PACIFIC INTERNATIONAL LINES,PACIFIC INTERNATIONAL LINES,1996,11480,8561
P3BA7,Cyprus,9135638,212160000,Container,LIMASSOL,22,2908,,MSC JEANNE,15.54,11.5,184.85,35021,29022,16570,MSC SHIPMANAGEMENT LTD,TDS CONTAINERSHIPS IV AS,1996,32560,24280
AWSA,India,9135925,419001195,Container,Monrovia,21,1618,,PAUL ABRAO,,10.81,156.92,22026,15929,9227,F.A. VINNEN & CO.,ABRAO SHIPPING LINES PVT LTD,1996,21114,15540
PHHV,Netherlands,9136228,246386000,Container,Harlingen,19,1050,,EVOLUTION,11.7,9,135.92,13248,9191,5284,JR SHIP MANAGEMENT BV,Evolution Shipping B.V.,1996,14348,10560
3EJU8,Panama,9136230,356886000,Container,Harlingen,19,1050,,XIANG SHUN,11.7,8.78,135.92,13109,9191,5284,JR SHIP MANAGEMENT BV,EVIDENCE SHIPPING BV,1997,14348,10560
UUBA2,Ukraine,9136371,272771000,Container,PANAMA,13,190,,DNIPRO LINE,5.56,3.6,105.59,3200,2077,738,MIDWAY SHIPPING,NINO TRADING &amp; CORP,1998,3889,2900
YBFM2,Indonesia,9136591,525005397,Container,PANAMA,18.1,933,20.5,ORIENTAL GOLD,12.9,8.93,151.13,17429,13310,7546,BERNHARD SCHULTE SHIPMANAGEMENT (CHINA) CO. LTD,SALAM PACIFIC INDONESIA LINES,1996,13580,9995
9VJD,Singapore,9137129,563970000,Container,SINGAPORE,17.6,1088,19.9,KOTA HASIL,12.8,8.72,150,19235,13272,6483,PACIFIC INTERNATIONAL LINES,PACIFIC INTERNATIONAL LINES,1996,11480,8561
AWPJ,India,9137521,419001126,Container,PANAMA,20,1613,22.3,SSL VISAKHAPATNAM,14,9.62,181.54,24376,18602,9382,LOMAR SHIPPING LTD,SHREYAS SHIPPING & LOGISTICS LTD,1996,18700,13763
AWJM,India,9137533,419000970,Container,PANAMA,20,1613,22.3,SSL GUJARAT,14,9.63,181.54,24365,18602,9382,ORIENT EXPRESS SHIP MANAGEMENT,SHREYAS SHIPPING & LOGISTICS LTD,1997,18443,13753
AWHI,India,9137545,419000914,Container,PANAMA,20,1613,22,SSL MUMBAI,14,9.6,181.54,24374,18602,9382,ORIENT EXPRESS SHIP MANAGEMENT,SHREYAS SHIPPING & LOGISTICS LTD,1997,18700,13763
3EAO5,Panama,9137557,354238000,Container,SINGAPORE,20,1613,22.2,KANWAY GLORY,14,9.63,181.54,24376,18504,9382,CHINA FAMOUS CO LTD,SHISHI YONGYI SHIPPING CO LTD.,1997,18700,13763
J8B5561,Saint Vincent and the Grenadines,9137569,377751000,Container,SINGAPORE,20,1613,22.1,VIRGO,14,9.63,181.54,24382,18602,9382,WALLEM SHIPMANAGEMENT LTD,BMS LINE SDN BHD,1997,,13753
AWOH,India,9137571,419001097,Container,PANAMA,20,1613,22.2,NARMADAA,14,9.63,181.54,24383,18602,9382,INTERWORLD SHIPPING AGENCY LLC,SIMA MARINE INDIA PVT LTD.,1997,18700,13763
A8LH7,Liberia,9137674,636015895,Container,Monrovia,21,2072,,WESTERBURG,16.75,11.5,176.68,30291,23896,10474,"PETERSON, REEDEREI HANS, & SOHNE GMBH & CO. KG",Burg Shipping Co. Ltd.,1997,24375,17940
D5DJ7,Liberia,9137698,636015900,Container,Monrovia,21,2072,,WESTERHAMM,16.75,11.5,176.68,30259,23896,10474,"PETERSON, REEDEREI HANS, & SOHNE GMBH & CO. KG",WESTERHAMM SHIPPING CO LTD,1998,24048,17940
BLBB5,China,9137703,413453870,Container,SINGAPORE,21,1980,,HONG YUAN 02,,11.5,176.68,30637,23734,10460,TAIZHOU GANGTAI SHIPPING,NONGBO JINGYE SHIPPING CO LTD,1997,24057,17940
V2PD6,Antigua and Barbuda,9137844,304010937,Container,St. John's,17,603,,DELPHINUS,9.1,6.85,115.61,6850,5730,2759,GRS ROHDEN SHIPPING GMBH & CO,DELPHINUS CHARTERING LTD,1997,8560,6300
E5U3004,Cook Islands,9137856,518100059,Container,MONTEGO BAY,17.5,591,,PALENCIA,9.1,6.85,115.61,6872,5691,2649,GANT TRADING SHIPPING CORP,HUNTER TRADING SHIPPING CORP,2000,8448,6300
P3JM9,Cyprus,9137894,210089000,Container,LIMASSOL,21,2890,,HARMONY,19.4,12.5,197.87,38400,31207,18703,UNKNOWN,COMPASS SHIPPING & TRADING LTD.,1997,,
V4OX2,Saint Kitts and Nevis,9137909,341345000,Container,MONROVIA,21,2890,,CHAMPION 1,19.4,12.5,197.87,38502,31206,18704,UNKNOWN,NADELLA CORP.,1997,,
3FWN3,Panama,9138147,356815000,Container,KEELUNG,18.2,1268,,ISEACO GENESIS,13.5,8.42,158,18580,15095,6453,CNC LINE-CHINESE TAIPEI,COASTAL NAVIGATION CO LTD,1997,,10130
3FRS7,Panama,9138159,351566000,Container,PANAMA,18.2,1268,20.2,ISEACO FORTUNE,13.5,8.42,160.13,18595,15075,6453,CONBULK SHIPPING S.A.,KUO AS,1997,13395,9989
3FVV7,Panama,9138161,351563000,Container,PANAMA,18.5,1295,,AEGEAN EXPRESS,13.5,8.41,,18581,15095,6453,FLEET MANAGEMENT LTD-HKG,ICON AEGEAN EXPRESS LLC,1997,13395,9989
D5JV4,Liberia,9138238,636017217,Container,MONROVIA,19.2,1900,,PACIFIC STAR,14.3,10.5,168.45,26260,18233,10564,CONTINENTAL SHIPPING LINE PTE,PACIFIC STAR PTE LTD,1997,21114,15540
D5JU8,Liberia,9138240,636017211,Container,MONROVIA,19.2,1900,,ATLANTIC STAR,14.3,10.5,168.45,26260,18233,10564,CONTINENTAL SHIPPING LINE PTE,Atlantic Star Pte. Ltd.,1997,21060,15500
BKUI6,China,9138252,413455660,Container,ST. JOHN'S,21,1608,,HE JIN,14.4,10.82,156.92,22264,15906,9227,ZHOUSHAN HEHE INT'L SHIPMGMT,ZHOUSHAN HEFENG SHIPPING CO,1997,21114,15540
DSRJ5,"Korea, Republic of",9138264,441883000,Container,LIMASSOL,20,1608,,XIUMEI SHANGHAI,14.4,10.81,156.92,22264,15906,9227,KOREA SHIPMANAGERS CO LTD,SINOKOR MERCHANT MARINE CO. LTD,1997,21114,15540
D5BN7,Liberia,9138276,636016854,Container,Monrovia,21,2470,,PANTHER,16.4,11.4,196.75,33976,25361,12733,ELEMENT SHIPMANAGEMENT SA,SEAFAITH MARITIME CO,1998,23370,17200
D5MU4,Liberia,9138288,636092753,Container,Hamburg,21,2470,,ANIKA OLTMANN,16.4,11.4,196.75,33975,25361,12733,SCHIFFAHRTSGESELLSCHAFT OLTMANN MBH,ANIKA OLTMANN SCHIFFAHRTS,1998,23370,17200
D5CU9,Liberia,9138290,636092456,Container,Monrovia,21,2470,,JUIST TRADER,16.4,11.4,196.75,34041,25361,12733,BUSS H,Hermann Buss GmbH & Co. KG MS JUIST TRADER,1998,23092,17220
A8XA3,Liberia,9138305,636017405,Container,Monrovia,21,2470,,MONEMVASIA,16.4,11.4,196.75,34044,25361,12733,V SHIPS GREECE LTD,Goodway Maritime Co.,1998,23092,17220
BICM2,China,9138317,413380050,Container,Monrovia,21,2470,,XIN OU 21,16.4,11.4,196.75,34017,25361,12733,BUSS H,"Shanghai Xinou Shipping Co., Ltd.",1999,23092,17220
D5BW4,Liberia,9138343,636092530,Container,MONROVIA,16.5,700,,BF LUCIA,8.3,6.69,115.04,7225,6362,3998,CORAL SHIPMANAGEMENT GMBH & CO,TOLAGA SCHIFFAHRTS GMBH &amp; CO,1997,7201,5300
CQIL7,United Kingdom,9138355,255805995,Container,London,16,700,,K RIVER,,7,115.04,7221,6362,3998,K&K SCHIFFAHRTS GMBH & CO KG,MS AHS WINTERHUDE Schifffahrtsgesellschaft mbH & Co. KG,1997,7201,5300
3WMC9,Vietnam,9138367,574002190,Container,MONROVIA,16.5,700,,VINAFCO 26,8.3,6.69,115.04,7200,6362,3998,UNKNOWN,VIETNAM FREIGHT FORWARDING CORP. (VINAFCO),1997,4151,3055
,,9138654,,Container,,16,617,,Ems Star,,6.3,,7800,5850,,,M.S EMS STAR JUHLKE SCHIFFAHRTS GMBH / CO KG,1995,,
YBAJ2,Indonesia,9138666,525013038,Container,ST. JOHN'S,16.5,740,,TANTO DAMAI,8.4,6.4,117.06,7761,6114,2885,NTO SHIPPING GMBH & CO KG,"TANTO INTIM LINE, P.T.",1996,7595,5590
DGVK,Antigua and Barbuda,9138745,218855000,Container,St. John's,14,294,,RMS VERITAS,6.4,5,93.79,3931,2899,1390,HINSCH GMBH & CO KG,Rhenus Maritime Services GmbH,1995,2519,1879
BOPD,China,9139000,412116000,Container,PANAMA,21,3400,,BU YI HE,,12.02,,44911,36772,21268,SHANGHAI OCEAN SHIPPING CO LTD,SHANGHAI PANASIA SHIPPING CO,1997,28000,20608
BOQZ,China,9139012,412109000,Container,,21,3400,,HA NI HE,,12.03,,44911,36772,21268,SHANGHAI OCEAN SHIPPING CO LTD,SHANGHAI PANASIA SHIPPING CO.,1997,,
BORX,China,9139024,,Container,PANAMA,21,3400,,NA XI HE,,12.02,,44911,36772,21268,SHANGHAI OCEAN SHIPPING CO LTD,SHANGHAI PANASIA SHIPPING CO.,1997,28000,20608
BORW,China,9139036,412112000,Container,PANAMA,21,3400,,JING PO HE,,12.02,,44911,36772,21268,SHANGHAI OCEAN SHIPPING CO LTD,SHANGHAI PANASIA SHIPPING CO,1997,27982,20595
BORY,China,9139048,412110000,Container,PANAMA,21,3400,,XI BO HE,,12.02,,44911,36772,21268,SHANGHAI OCEAN SHIPPING CO LTD,SHANGHAI PANASIA SHIPPING CO,1997,28000,20608
BOSL,China,9139050,412087000,Container,PANAMA,21,3400,,YU GU HE,19,11.98,,44772,36772,21268,SHANGHAI OCEAN SHIPPING CO LTD,SHANGHAI PANASIA SHIPPING CO.,1997,,20603
BOSM,China,9139062,412130000,Container,PANAMA,21,3400,,LUOBAHE,19,11.94,,44911,36772,21268,SHANGHAI OCEAN SHIPPING CO LTD,SHANGHAI PANASIA SHIPPING CO,1998,28020,20623
D5JY7,Liberia,9139086,636017245,Container,SINGAPORE,19.6,1730,,POLO,,9.85,172.36,22967,16661,8500,SEACHANGE MARITIME PTE LTD,FEEDER CONTAINER II AS,2002,18098,13320
T8A2225,Palau,9139488,211256510,Container,ROSTOCK,23,4646,,SAN,21.8,13,284.2,62057,53324,30816,REEDEREI F LAEISZ GMBH,Unknown Owner,1997,55761,41040
V4LT3,Saint Kitts and Nevis,9139490,211256380,Container,ROSTOCK,23,4688,,MUNDRI,21.8,13,284.2,63533,53324,30816,REEDEREI F LAEISZ GMBH,Saiph Shipping Corp.,1997,47418,34900
HONW,Panama,9139505,355738000,Container,Panama,23,3398,,MSC REBECCA,16.35,12.11,227.37,42954,37579,21891,MSC SHIPMANAGEMENT LTD,Caique Shipping Co. Ltd.,1997,38571,28388
V7GY4,Marshall Islands,9139634,354652000,Container,MAJURO,19,1145,,WATERMARK ST.GEORGE,11.3,7.81,136.8,12258,10384,5070,CARSTEN REHDER SCHIFFSMAKLER,AHS ST GEORG SCHIFFFAHRTS,1998,15388,11475
V2QT2,Antigua and Barbuda,9139646,304199000,Container,VALLETTA,19.8,1147,,KRETA S,11.3,7.8,136.8,12238,10384,5070,LUMAR SHIPMANAGEMENT RIGA,BLING SHIPHOLDING CO,1998,15600,11482
D6IK6,United States of America,9139713,367403460,Container,"Oakland, CA",24.5,5020,,GALE,24.3,13.5,261.2,63693,65475,28825,APL MARITIME LTD,WILMINGTON TRUST CO,1997,66120,49326
D6A2188,Comoros,9139725,564965000,Container,"Oakland, CA",24.5,5020,,CYPRUS,24.3,13.5,261.2,64157,65475,28825,APL MARITIME LTD,NOL LINER PTE LTD.,1997,66120,48664
9V3368,Singapore,9139737,566372000,Container,"Oakland, CA",24.5,5020,,APL PEARL,24.3,13.5,261.2,64050,65475,28825,NEPTUNE SHIPMANAGEMENT SERVICES (PTE) LTD,NOL LINER PTE LTD,1998,66120,48664
WDF6832,United States,9139749,367478280,Container,"Oakland, CA",24.5,5020,,APL CORAL,24.3,13.53,261.2,64145,65475,28825,APL MARITIME LTD,WILMINGTON TRUST CO,1998,66120,48664
BVKJ8,China,9139907,414222000,Container,MONROVIA,21.7,3822,,ZE GUANG,,11.78,253.7,46350,41507,16353,ZIM INTEGRATED SHIPPING,XIAMEN QIYUAN SHIPPING CO LTD,1997,38519,28350
A8OY9,Liberia,9139919,,Container,MONROVIA LIBERIA,21.7,3822,,ZIM IBERIA,,11.8,253.7,46850,41507,16353,ZIM INTEGRATED SHIPPING,ZIM IBERIA MARITIME LTD.,1997,38519,28350
BIBY8,China,9139921,414224000,Container,MONROVIA LIBERIA,21.7,3429,,ZHONGGULIAONING,,11.78,253.7,45850,41507,16353,ZIM INTEGRATED SHIPPING,SHANGHAI ZHONGGU XINLIANG SHPG,1997,38519,28350
VRHW6,Hong Kong,9140061,477387600,Container,HONG KONG,17.3,908,19.9,IAL 001,12.8,6.85,137.21,15628,11810,6668,WAN HAI LINES LTD,INTERASIA LINES HK LTD,1996,11480,8561
3WLM9,Vietnam,9141041,574002120,Container,LUXEMBOURG,17,601,,TAN CANG PIONEER,9.45,7.25,110.04,6850,5522,2621,TAN CANG SHIPPING JSC,TAN CANG LOGISTIC &amp; STEVEDOR,1996,6793,5000
DUH3507,Antigua and Barbuda,9141053,548581300,Container,ST. JOHN'S,17,601,,SAN LORENZO RUIZ UNO,10.33,7.54,110.04,7060,5549,2621,UNKNOWN,CAPROTEC CORP,1997,6793,5000
6AIM,Egypt,9141106,622112501,Container,Port Said,16.5,545,,DELTA NORTH,9.2,7.05,107.94,7000,5006,2096,UNIMAR SHIPPING MANAGEMENT,ADKAB MARINE SAE,1996,5380,3960
DHEW,Germany,9141118,211235880,Container,Hamburg,19.5,749,,WEGA,,7,141.93,8912,7550,3957,REEDEREI H.-P. WEGENER,MS WEGA GmbH & Co. KG,1996,13587,10000
A8AC5,Liberia,9141120,636090553,Container,MONROVIA,20,1651,,AMUR 2521,13.5,9.9,156.8,20983,16211,8328,MARTIME-GESELLSCHAFT FUR MARITIME DIENSTLEISTUNGEN MBH,FRESENA TRANSCON BETEILIGUNGS,1997,21739,16000
V4LO2,Saint Kitts and Nevis,9141132,,Container,ELSFLETH,20.5,1651,,DUCIA,,9.9,156.8,21060,16211,8328,MARTIME-GESELLSCHAFT FUR MARITIME DIENSTLEISTUNGEN MBH,FIDUCIA TRANSCON BETEILIGUNGS,1997,21739,16000
